route,direction,weekday,hour,2013,2014,2015,2016,2017
I-93 North of Boston,Northbound,"Tue, Wed, Thu",6 AM,10.55,10.59,10.82,10.82,10.68
I-93 North of Boston,Northbound,"Tue, Wed, Thu",7 AM,12.11,12.06,13.05,12.48,12.66
I-93 North of Boston,Northbound,"Tue, Wed, Thu",8 AM,15.5,16.05,16.8,16.66,17.45
I-93 North of Boston,Northbound,"Tue, Wed, Thu",9 AM,11.99,11.99,12.74,12.8,12.74
I-93 North of Boston,Northbound,"Tue, Wed, Thu",10 AM,11.14,11.06,11.7,11.68,11.74
I-93 North of Boston,Northbound,"Tue, Wed, Thu",11 AM,10.89,11.65,11.72,11.53,12.01
I-93 North of Boston,Northbound,"Tue, Wed, Thu",12 PM,10.83,11.04,11.86,11.79,12.4
I-93 North of Boston,Northbound,"Tue, Wed, Thu",1 PM,10.95,11.32,12.13,11.89,12.32
I-93 North of Boston,Northbound,"Tue, Wed, Thu",2 PM,12.41,13.1,16.6,17.18,18.38
I-93 North of Boston,Northbound,"Tue, Wed, Thu",3 PM,20.87,22.6,27.51,26.76,30.82
I-93 North of Boston,Northbound,"Tue, Wed, Thu",4 PM,26.53,28.22,31.02,31.11,35.27
I-93 North of Boston,Northbound,"Tue, Wed, Thu",5 PM,26.14,29.01,28.76,29.09,33.03
I-93 North of Boston,Northbound,"Tue, Wed, Thu",6 PM,19.6,20.88,20.47,21.66,24.21
I-93 North of Boston,Northbound,"Tue, Wed, Thu",7 PM,12.34,11.97,12.72,13.22,14.99
I-93 North of Boston,Northbound,"Tue, Wed, Thu",8 PM,10.88,11.01,11.22,11.75,13.86
I-93 North of Boston,Northbound,"Tue, Wed, Thu",9 PM,10.92,11.28,11.52,13.54,15.36
I-93 North of Boston,Northbound,weekend,6 AM,10.55,10.53,10.72,10.67,10.63
I-93 North of Boston,Northbound,weekend,7 AM,10.52,10.4,10.71,10.6,10.69
I-93 North of Boston,Northbound,weekend,8 AM,10.52,10.51,10.76,10.71,10.65
I-93 North of Boston,Northbound,weekend,9 AM,10.57,10.74,10.88,10.81,10.8
I-93 North of Boston,Northbound,weekend,10 AM,10.73,10.81,11.13,11.47,11.65
I-93 North of Boston,Northbound,weekend,11 AM,10.8,11.27,11.62,11.93,12.4
I-93 North of Boston,Northbound,weekend,12 PM,11.06,11.99,12.24,12.38,12.84
I-93 North of Boston,Northbound,weekend,1 PM,11.31,11.71,12.31,12.48,12.32
I-93 North of Boston,Northbound,weekend,2 PM,11.09,11.48,11.99,12.66,12.1
I-93 North of Boston,Northbound,weekend,3 PM,10.97,11.44,12.43,11.71,11.78
I-93 North of Boston,Northbound,weekend,4 PM,10.9,11.13,12.58,11.65,11.69
I-93 North of Boston,Northbound,weekend,5 PM,10.8,10.93,11.8,13.64,11.39
I-93 North of Boston,Northbound,weekend,6 PM,10.74,11.09,12.12,14.37,11.23
I-93 North of Boston,Northbound,weekend,7 PM,10.62,11.01,11.09,12.44,11.09
I-93 North of Boston,Northbound,weekend,8 PM,10.83,11.11,11.02,11.35,11.3
I-93 North of Boston,Northbound,weekend,9 PM,10.97,11.18,11.23,12.21,12.45
I-93 North of Boston,Southbound,"Tue, Wed, Thu",6 AM,10.31,10.22,10.65,10.57,10.55
I-93 North of Boston,Southbound,"Tue, Wed, Thu",7 AM,10.41,10.24,10.7,10.55,10.63
I-93 North of Boston,Southbound,"Tue, Wed, Thu",8 AM,10.52,10.36,10.75,10.55,10.57
I-93 North of Boston,Southbound,"Tue, Wed, Thu",9 AM,10.7,10.46,10.74,10.76,10.81
I-93 North of Boston,Southbound,"Tue, Wed, Thu",10 AM,10.91,10.64,10.88,11.04,11.74
I-93 North of Boston,Southbound,"Tue, Wed, Thu",11 AM,12.36,11.24,11.45,11.92,12.7
I-93 North of Boston,Southbound,"Tue, Wed, Thu",12 PM,13.3,11.58,12.09,12.52,14.04
I-93 North of Boston,Southbound,"Tue, Wed, Thu",1 PM,12.94,11.57,12.36,12.93,12.96
I-93 North of Boston,Southbound,"Tue, Wed, Thu",2 PM,12.74,11.3,12.33,13.79,13.31
I-93 North of Boston,Southbound,"Tue, Wed, Thu",3 PM,12.8,11.14,12.12,13.34,13
I-93 North of Boston,Southbound,"Tue, Wed, Thu",4 PM,13.26,10.75,12.09,12.91,12.94
